transaction_id	user_id	account_id	amount	currency	transaction_type	merchant_id	merchant_category	card_type	transaction_channel	location	timestamp	fraud_flag	risk_score	device_id	fraud_scenario
34	3097	55178	3768.45	EUR	Transfer	379	Travel	Prepaid	Mobile App	Houston	2025-11-13 04:19:57	0	0.01	device_3073	
35	4712	16659	2628.61	EUR	Transfer	204	Electronics	Prepaid	Web	Miami	2025-11-12 00:54:57	0	0.13	device_4246	
36	1930	18887	286.55	EUR	Transfer	445	Restaurants	Credit	POS	Miami	2025-11-14 07:27:57	0	0.27	device_9219	
37	2549	72830	1085.67	GBP	Transfer	104	Luxury	Prepaid	Web	Miami	2025-11-15 17:51:57	1	0.98	device_9219	Money Laundering
38	2513	91092	3626.54	EUR	Payment	122	Electronics	Debit	Web	Houston	2025-11-12 17:56:57	0	0.11	device_3371	
39	4468	10449	269.93	EUR	Withdrawal	174	Luxury	Debit	POS	Chicago	2025-11-09 22:00:57	0	0.01	device_5317	
40	1636	10999	3118.87	EUR	Deposit	134	Electronics	Debit	POS	Miami	2025-11-14 21:45:57	0	0.05	device_7795	
41	3818	79710	3789.67	USD	Payment	350	Travel	Debit	Web	Chicago	2025-11-12 01:36:57	0	0.16	device_1841	
42	1553	17511	4049.29	USD	Withdrawal	120	Electronics	Credit	Mobile App	Los Angeles	2025-11-11 10:39:57	0	0.03	device_9537	
43	4237	20563	1921.53	EUR	Payment	362	Luxury	Debit	Mobile App	Chicago	2025-11-14 20:48:57	0	0.3	device_4275	
44	3518	97306	4227.92	EUR	Withdrawal	454	Travel	Debit	POS	Los Angeles	2025-11-12 00:25:57	1	0.78	device_4002	Synthetic Identity
45	1720	66804	2462.56	GBP	Deposit	195	Electronics	Debit	Web	New York	2025-11-16 00:02:57	1	0.9	device_6775	Account Takeover
46	1796	28812	3908.94	EUR	Withdrawal	276	Travel	Prepaid	Mobile App	New York	2025-11-14 21:24:57	0	0.13	device_4748	
47	2559	91863	4158.55	USD	Withdrawal	309	Restaurants	Prepaid	Web	Miami	2025-11-10 08:19:57	0	0.18	device_3134	
48	1836	82969	3850.54	EUR	Withdrawal	314	Grocery	Prepaid	POS	Los Angeles	2025-11-16 09:51:57	0	0.25	device_6281	
49	4023	94810	4900.49	EUR	Withdrawal	430	Grocery	Debit	Web	Houston	2025-11-11 10:54:57	0	0.3	device_2271	
50	2946	54627	1609.56	GBP	Payment	417	Luxury	Debit	Web	Los Angeles	2025-11-09 20:56:57	0	0.16	device_4251	
51	2705	21455	1674.73	GBP	Withdrawal	240	Travel	Credit	Mobile App	Miami	2025-11-10 05:22:57	0	0.22	device_9022	
52	1141	97078	1076.89	GBP	Transfer	121	Grocery	Credit	Web	Houston	2025-11-13 05:37:57	0	0.11	device_2069	
53	4213	10123	2661.05	EUR	Payment	408	Travel	Debit	POS	Chicago	2025-11-11 02:10:57	0	0.02	device_6621	
54	4083	86957	1019.79	USD	Withdrawal	205	Restaurants	Prepaid	POS	Los Angeles	2025-11-11 07:49:57	0	0.01	device_9844	
55	1930	10388	1634.64	USD	Payment	112	Travel	Prepaid	Web	Houston	2025-11-15 19:05:57	1	0.91	device_5355	Account Takeover
56	2006	95583	1070.46	EUR	Deposit	348	Travel	Debit	Mobile App	Los Angeles	2025-11-10 07:50:57	0	0.2	device_4512	
57	3529	30245	325.36	EUR	Payment	261	Travel	Credit	POS	New York	2025-11-10 10:14:57	0	0.07	device_8106	
58	2897	67340	504.81	EUR	Deposit	472	Electronics	Credit	Web	New York	2025-11-10 16:06:57	1	0.77	device_5269	Money Laundering
59	2124	84682	4145.92	USD	Payment	487	Travel	Credit	Web	Miami	2025-11-11 16:34:57	0	0.18	device_6798	
60	3247	75006	2107.5	GBP	Withdrawal	382	Electronics	Debit	Mobile App	Chicago	2025-11-13 00:10:57	0	0.25	device_3985	
61	1672	65043	2787.87	GBP	Deposit	206	Travel	Credit	Web	Miami	2025-11-13 08:08:57	0	0.24	device_4913	
62	2961	73488	3358.69	USD	Payment	467	Travel	Prepaid	Mobile App	Los Angeles	2025-11-16 14:02:57	0	0.26	device_5601	
63	3204	44232	1824.8	EUR	Transfer	199	Luxury	Debit	Mobile App	Chicago	2025-11-10 11:51:57	0	0.13	device_3144	
64	2594	26136	4685.12	GBP	Payment	269	Travel	Credit	POS	Houston	2025-11-14 17:38:57	0	0.06	device_8556	
65	4195	93606	2869.8	GBP	Deposit	195	Restaurants	Debit	POS	Houston	2025-11-13 15:30:57	0	0.02	device_2487	
66	4533	37108	3500.35	GBP	Transfer	326	Electronics	Credit	POS	New York	2025-11-10 21:28:57	0	0.21	device_2040	
67	3919	88486	3921.06	GBP	Withdrawal	196	Restaurants	Prepaid	Mobile App	New York	2025-11-12 02:45:57	0	0.21	device_5306	
68	1364	98632	2338.41	GBP	Withdrawal	452	Restaurants	Prepaid	Mobile App	Los Angeles	2025-11-11 21:39:57	0	0.17	device_3915	
69	4685	33240	1507.72	EUR	Deposit	483	Restaurants	Credit	Web	New York	2025-11-10 09:08:57	0	0.02	device_5007	
70	3973	95299	4442.57	EUR	Payment	471	Restaurants	Debit	POS	Houston	2025-11-10 17:47:57	1	0.94	device_1987	Money Laundering
71	2822	66935	4618.91	EUR	Withdrawal	345	Travel	Debit	Mobile App	Chicago	2025-11-16 04:25:57	1	0.78	device_5385	Account Takeover
72	3174	15477	411.96	EUR	Deposit	188	Electronics	Prepaid	POS	Chicago	2025-11-16 14:12:57	0	0.13	device_7512	
73	1558	51317	3800.99	USD	Payment	377	Restaurants	Credit	Mobile App	Los Angeles	2025-11-13 10:24:57	0	0.25	device_7428	
74	4080	84695	1981.87	EUR	Deposit	134	Grocery	Debit	Mobile App	Los Angeles	2025-11-15 09:51:57	0	0.28	device_5528	
75	1266	47813	4497.19	USD	Withdrawal	396	Travel	Debit	Web	Houston	2025-11-15 10:06:57	0	0.17	device_7891	
76	2928	98118	2905.04	USD	Payment	488	Luxury	Prepaid	POS	Los Angeles	2025-11-10 19:30:57	0	0.14	device_6524	
77	2509	74531	4936.12	EUR	Deposit	458	Grocery	Debit	POS	Houston	2025-11-10 08:49:57	1	0.95	device_5387	Account Takeover
78	4619	93222	60.55	EUR	Payment	293	Luxury	Debit	POS	Houston	2025-11-11 13:05:57	1	0.99	device_3274	Account Takeover
79	3326	98416	2824.03	GBP	Transfer	260	Travel	Credit	Web	New York	2025-11-16 01:02:57	1	0.89	device_4326	Money Laundering
80	4105	30001	283.73	USD	Deposit	153	Electronics	Prepaid	Mobile App	Miami	2025-11-15 20:01:57	0	0.18	device_6351	
81	3909	26564	2168.4	EUR	Transfer	225	Grocery	Debit	POS	Los Angeles	2025-11-14 03:02:57	0	0.19	device_5330	
82	2371	21143	1213.68	GBP	Payment	282	Grocery	Credit	POS	Houston	2025-11-13 23:39:57	1	0.95	device_1527	CNP Fraud
83	2031	44909	3034.08	USD	Payment	380	Luxury	Prepaid	Mobile App	Chicago	2025-11-11 00:23:57	0	0.05	device_3804	
84	2795	70564	99.13	EUR	Withdrawal	498	Travel	Prepaid	Mobile App	New York	2025-11-15 19:59:57	1	0.84	device_7338	Money Laundering
85	3621	19017	3609.21	EUR	Payment	409	Luxury	Prepaid	POS	Chicago	2025-11-14 15:56:57	0	0.05	device_3050	
86	1272	67655	1971.04	EUR	Withdrawal	288	Travel	Debit	POS	Miami	2025-11-10 07:22:57	0	0.14	device_3375	
87	3147	60795	133.72	EUR	Transfer	332	Electronics	Debit	Mobile App	Miami	2025-11-14 01:49:57	0	0.07	device_7077	
88	3542	38018	2151.45	USD	Deposit	292	Grocery	Credit	Mobile App	Los Angeles	2025-11-14 00:31:57	0	0.17	device_9395	
89	2371	85602	275.14	GBP	Deposit	307	Travel	Prepaid	Mobile App	Miami	2025-11-12 09:20:57	0	0.04	device_8104	
90	2229	51140	47.51	EUR	Payment	481	Electronics	Credit	Mobile App	Houston	2025-11-16 00:10:57	1	0.93	device_1111	High-Risk Merchant
91	1829	81735	3582.77	USD	Deposit	495	Grocery	Credit	POS	Chicago	2025-11-11 06:31:57	0	0.07	device_1875	
92	2949	27150	857.28	GBP	Transfer	214	Electronics	Debit	POS	Los Angeles	2025-11-12 16:00:57	1	0.89	device_9470	High-Risk Merchant
93	4745	75456	1552.63	EUR	Deposit	400	Electronics	Debit	Web	Miami	2025-11-13 05:34:57	0	0.22	device_8889	
94	4203	32113	3500.64	GBP	Transfer	337	Grocery	Debit	Mobile App	Miami	2025-11-16 08:02:57	0	0.07	device_7460	
95	3463	44911	1794.89	GBP	Withdrawal	297	Travel	Debit	POS	Los Angeles	2025-11-13 07:52:57	0	0.1	device_1529	
96	1534	53391	1564.71	EUR	Payment	126	Travel	Debit	POS	Chicago	2025-11-11 03:54:57	0	0.09	device_6612	
97	3576	68441	4351.26	USD	Payment	128	Travel	Credit	Web	Chicago	2025-11-12 16:44:57	0	0.16	device_5064	
98	2586	62137	4350.44	USD	Deposit	433	Travel	Credit	Web	New York	2025-11-15 09:04:57	0	0.25	device_6454	
99	2598	94254	4899.32	EUR	Deposit	230	Travel	Prepaid	Mobile App	Los Angeles	2025-11-11 13:12:57	0	0.08	device_1771	
100	2177	71556	2956.14	USD	Transfer	376	Restaurants	Prepaid	Mobile App	Miami	2025-11-11 13:43:57	0	0.28	device_9253	
101	1756	99575	910.64	EUR	Deposit	202	Electronics	Credit	Mobile App	Los Angeles	2025-11-13 00:04:57	0	0.26	device_4819	
102	2872	93215	3659.37	USD	Payment	244	Electronics	Credit	POS	Houston	2025-11-11 16:04:57	0	0.13	device_6920	
103	1247	39479	998.03	EUR	Deposit	391	Grocery	Credit	Mobile App	Houston	2025-11-12 07:15:57	1	0.9	device_1653	CNP Fraud
104	3144	41817	2354.08	USD	Withdrawal	258	Electronics	Debit	POS	Miami	2025-11-13 09:22:57	0	0.29	device_2327	
105	1659	54519	3339.47	USD	Payment	289	Grocery	Debit	POS	Los Angeles	2025-11-15 19:47:57	0	0.04	device_1649	
106	2876	40807	2745.75	USD	Deposit	335	Electronics	Credit	Web	Miami	2025-11-10 02:32:57	0	0.22	device_6447	
107	3074	91737	4080.26	GBP	Withdrawal	155	Electronics	Prepaid	POS	Miami	2025-11-12 15:58:57	0	0.12	device_7743	
108	1610	24158	4292.0	GBP	Withdrawal	133	Luxury	Credit	Mobile App	Miami	2025-11-14 10:55:57	0	0.28	device_3273	
109	2924	41436	4699.69	GBP	Withdrawal	114	Grocery	Prepaid	Mobile App	New York	2025-11-10 12:33:57	1	0.95	device_8029	Account Takeover
110	4523	51005	1290.6	GBP	Withdrawal	149	Grocery	Credit	Web	Houston	2025-11-16 15:24:57	0	0.02	device_4964	
111	3713	84913	3777.25	USD	Transfer	185	Grocery	Debit	Mobile App	Los Angeles	2025-11-12 11:13:57	0	0.29	device_4051	
112	1970	48998	930.91	EUR	Deposit	441	Electronics	Prepaid	Web	Miami	2025-11-14 08:24:57	1	0.89	device_9985	Account Takeover
113	1953	90098	4391.75	EUR	Deposit	175	Grocery	Debit	Mobile App	Houston	2025-11-12 07:48:57	1	0.73	device_7969	Account Takeover
114	1809	93196	1852.24	EUR	Payment	114	Restaurants	Credit	Mobile App	Chicago	2025-11-13 13:27:57	0	0.02	device_1190	
115	2692	15768	1419.86	EUR	Withdrawal	224	Restaurants	Prepaid	POS	Houston	2025-11-13 07:20:57	0	0.06	device_4336	
116	2628	30050	4157.96	USD	Transfer	106	Travel	Debit	Web	Houston	2025-11-16 07:23:57	0	0.01	device_9084	
117	2126	33005	4390.27	GBP	Transfer	331	Luxury	Debit	POS	Los Angeles	2025-11-12 05:25:57	0	0.03	device_3863	
118	1794	29234	2518.13	GBP	Withdrawal	149	Travel	Debit	Web	Chicago	2025-11-10 21:09:57	0	0.1	device_3513	
119	1998	96642	3631.09	GBP	Payment	389	Electronics	Debit	POS	Miami	2025-11-15 11:13:57	0	0.19	device_5040	
120	4616	65351	706.08	EUR	Withdrawal	500	Luxury	Prepaid	Mobile App	Houston	2025-11-10 21:51:57	0	0.21	device_4111	
121	1496	54857	3252.32	EUR	Payment	374	Luxury	Prepaid	Mobile App	Miami	2025-11-13 21:42:57	0	0.14	device_6633	
122	2768	84241	156.06	USD	Payment	297	Travel	Prepaid	Web	Chicago	2025-11-13 11:56:57	1	0.99	device_8499	CNP Fraud
123	2477	75890	82.79	USD	Withdrawal	343	Luxury	Prepaid	POS	Houston	2025-11-13 18:41:57	0	0.17	device_2408	
124	4551	89777	1642.84	GBP	Payment	416	Grocery	Credit	Mobile App	Los Angeles	2025-11-09 18:47:57	0	0.27	device_6736	
125	2134	29716	4861.72	USD	Transfer	146	Restaurants	Prepaid	POS	Los Angeles	2025-11-11 12:55:57	0	0.13	device_1744	
126	3289	98246	3698.73	GBP	Transfer	382	Electronics	Prepaid	Mobile App	Los Angeles	2025-11-09 23:54:57	0	0.1	device_7108	
127	1851	94537	1226.45	USD	Payment	453	Restaurants	Prepaid	Mobile App	Chicago	2025-11-16 13:47:57	0	0.08	device_7561	
128	2587	33753	1907.28	GBP	Payment	472	Electronics	Debit	Mobile App	Miami	2025-11-11 15:13:57	1	0.89	device_6024	Account Takeover
129	4059	32501	2675.11	USD	Transfer	262	Electronics	Debit	Web	Miami	2025-11-15 08:12:57	0	0.12	device_8302	
130	4286	63536	3320.79	USD	Transfer	342	Travel	Prepaid	POS	New York	2025-11-15 12:40:57	1	1.0	device_8206	CNP Fraud
131	3113	59466	437.99	USD	Deposit	282	Luxury	Credit	POS	New York	2025-11-09 18:36:57	0	0.3	device_4300	
132	1488	16177	1676.34	GBP	Transfer	243	Restaurants	Prepaid	POS	Chicago	2025-11-12 12:35:57	0	0.11	device_9062	
133	3100	66774	3247.7	EUR	Withdrawal	210	Electronics	Credit	Web	Miami	2025-11-09 22:06:57	0	0.21	device_1527	
134	3888	34437	3011.11	GBP	Withdrawal	337	Travel	Credit	POS	Miami	2025-11-11 11:50:57	0	0.2	device_1081	
135	1703	62496	3026.46	EUR	Transfer	174	Travel	Credit	Mobile App	Los Angeles	2025-11-10 21:02:57	0	0.16	device_4171	
136	3764	13544	725.91	USD	Deposit	221	Restaurants	Debit	POS	Houston	2025-11-13 16:32:57	0	0.21	device_7538	
137	2170	30751	3608.06	USD	Transfer	436	Grocery	Debit	POS	Chicago	2025-11-13 19:31:57	0	0.06	device_2127	
138	1867	43792	1518.53	GBP	Withdrawal	412	Travel	Debit	POS	Miami	2025-11-10 04:23:57	1	0.72	device_1502	Account Takeover
139	4326	34814	3074.5	USD	Transfer	159	Luxury	Credit	POS	Los Angeles	2025-11-12 13:30:57	0	0.19	device_2298	
140	1953	66611	4443.45	EUR	Deposit	481	Travel	Prepaid	Web	Chicago	2025-11-14 10:07:57	0	0.01	device_1424	
141	2044	29202	3838.48	GBP	Withdrawal	451	Electronics	Debit	POS	Los Angeles	2025-11-12 14:55:57	0	0.13	device_2568	
142	1464	80004	3620.23	EUR	Withdrawal	492	Luxury	Credit	POS	Houston	2025-11-15 23:14:57	0	0.16	device_8412	
143	3055	90879	2329.5	USD	Transfer	335	Grocery	Prepaid	POS	Los Angeles	2025-11-10 09:21:57	0	0.04	device_5568	
144	2255	61694	4517.57	EUR	Payment	313	Restaurants	Debit	Web	New York	2025-11-11 13:33:57	0	0.25	device_5830	
145	2471	27142	4218.6	GBP	Withdrawal	140	Travel	Prepaid	Web	Chicago	2025-11-11 16:54:57	0	0.28	device_3353	
146	3639	46457	615.25	USD	Withdrawal	173	Electronics	Debit	POS	New York	2025-11-13 03:39:57	0	0.08	device_5788	
147	2964	59790	1621.5	GBP	Withdrawal	500	Electronics	Credit	POS	Chicago	2025-11-10 07:01:57	1	0.89	device_9869	Account Takeover
148	2769	38748	3194.61	GBP	Withdrawal	489	Restaurants	Debit	Web	Miami	2025-11-15 01:48:57	0	0.03	device_4746	
149	4364	93221	3345.84	USD	Withdrawal	131	Travel	Prepaid	Mobile App	New York	2025-11-11 08:03:57	0	0.09	device_7094	
150	3569	44171	90.14	EUR	Withdrawal	198	Restaurants	Credit	Web	Houston	2025-11-13 10:34:57	0	0.26	device_6943	
151	2592	26423	4099.77	EUR	Deposit	388	Travel	Prepaid	Web	Chicago	2025-11-10 09:02:57	0	0.15	device_7063	
152	1454	75183	3239.58	USD	Deposit	214	Luxury	Debit	Mobile App	Houston	2025-11-09 22:29:57	0	0.2	device_1854	
153	4616	87583	1172.14	EUR	Withdrawal	275	Electronics	Credit	Web	Miami	2025-11-15 10:36:57	0	0.15	device_4954	
154	1068	86885	3610.95	EUR	Transfer	428	Restaurants	Credit	Mobile App	Chicago	2025-11-15 17:02:57	1	0.99	device_4665	Synthetic Identity
155	3544	77784	3297.21	EUR	Withdrawal	370	Restaurants	Prepaid	Mobile App	Houston	2025-11-12 18:25:57	0	0.12	device_9617	
156	2423	96822	3533.63	GBP	Deposit	349	Electronics	Prepaid	POS	Miami	2025-11-15 05:45:57	0	0.02	device_5481	
157	1507	95172	2667.38	GBP	Deposit	166	Electronics	Prepaid	Web	Houston	2025-11-14 02:43:57	0	0.25	device_7049	
158	4888	12870	1745.66	GBP	Payment	222	Electronics	Debit	POS	Miami	2025-11-12 13:50:57	0	0.23	device_5579	
159	3527	60771	4308.06	USD	Deposit	222	Luxury	Debit	POS	New York	2025-11-09 21:50:57	0	0.07	device_5446	
160	1599	93687	3241.26	USD	Deposit	232	Travel	Debit	POS	Houston	2025-11-10 09:46:57	0	0.27	device_5132	
161	3013	92726	4297.03	USD	Payment	355	Luxury	Credit	Web	Houston	2025-11-15 06:19:57	0	0.22	device_9710	
162	3745	11899	3341.1	GBP	Transfer	454	Luxury	Prepaid	Mobile App	Chicago	2025-11-12 19:38:57	0	0.02	device_6653	
163	1072	62148	3771.8	GBP	Transfer	328	Travel	Debit	Web	Houston	2025-11-11 23:52:57	0	0.21	device_1461	
164	2664	58141	2451.09	USD	Transfer	171	Grocery	Debit	Web	New York	2025-11-11 19:43:57	0	0.15	device_7822	
165	2736	90824	2017.7	EUR	Withdrawal	433	Luxury	Prepaid	POS	Chicago	2025-11-10 16:39:57	0	0.29	device_3937	
166	2150	81243	2353.88	USD	Withdrawal	363	Travel	Debit	Web	Chicago	2025-11-11 02:38:57	1	0.94	device_4710	High-Risk Merchant
167	1757	49090	3040.89	EUR	Transfer	409	Travel	Prepaid	Mobile App	Los Angeles	2025-11-13 22:07:57	0	0.04	device_9920	
168	1615	16219	4692.5	GBP	Deposit	380	Restaurants	Credit	Mobile App	New York	2025-11-12 21:21:57	0	0.02	device_8343	
169	3340	82475	2720.03	EUR	Transfer	125	Luxury	Credit	Web	New York	2025-11-11 09:32:57	0	0.25	device_8012	
170	4548	79066	1352.25	GBP	Deposit	279	Electronics	Credit	Mobile App	Los Angeles	2025-11-14 10:13:57	1	0.71	device_1915	Account Takeover
171	1804	51576	2227.94	EUR	Deposit	182	Grocery	Prepaid	POS	Houston	2025-11-13 16:10:57	0	0.14	device_1072	
172	4312	33040	4932.09	GBP	Deposit	483	Electronics	Debit	Web	Chicago	2025-11-15 13:10:57	0	0.14	device_2167	
173	4864	65518	822.37	GBP	Payment	268	Travel	Debit	Web	Miami	2025-11-14 13:34:57	0	0.06	device_9633	
174	3497	57325	3970.57	EUR	Deposit	314	Grocery	Credit	Mobile App	Los Angeles	2025-11-09 18:38:57	0	0.01	device_3005	
175	2346	17796	4586.04	GBP	Payment	441	Electronics	Credit	Mobile App	New York	2025-11-13 07:45:57	0	0.16	device_7115	
176	3759	31357	775.43	EUR	Withdrawal	356	Luxury	Debit	Web	Chicago	2025-11-10 23:08:57	0	0.25	device_2238	
177	3898	74551	736.06	GBP	Deposit	264	Restaurants	Debit	Web	New York	2025-11-12 17:01:57	1	0.79	device_2695	CNP Fraud
178	1866	68566	2593.94	USD	Transfer	212	Travel	Prepaid	Web	Miami	2025-11-14 03:31:57	0	0.1	device_8721	
179	4787	47058	3120.27	EUR	Transfer	189	Luxury	Debit	Web	Houston	2025-11-15 16:12:57	0	0.01	device_5000	
180	2260	85753	271.83	EUR	Payment	246	Restaurants	Prepaid	Mobile App	Los Angeles	2025-11-11 09:21:57	0	0.29	device_5355	
181	3401	27405	2910.69	USD	Withdrawal	446	Restaurants	Credit	Web	Los Angeles	2025-11-15 17:14:57	0	0.1	device_7036	
182	1153	37925	781.91	EUR	Payment	421	Luxury	Credit	Web	New York	2025-11-10 22:16:57	0	0.08	device_2800	
183	3929	23669	4516.93	EUR	Payment	497	Travel	Credit	POS	Los Angeles	2025-11-13 14:37:57	0	0.05	device_3461	
184	1318	83075	2813.96	USD	Withdrawal	266	Electronics	Debit	POS	Chicago	2025-11-10 16:54:57	0	0.07	device_6216	
185	3565	38537	2538.43	EUR	Payment	183	Restaurants	Credit	Web	Chicago	2025-11-14 19:25:57	0	0.29	device_1046	
186	3103	53678	72.9	USD	Withdrawal	274	Travel	Debit	Mobile App	Chicago	2025-11-16 10:01:57	0	0.02	device_8465	
187	1266	56353	1271.9	USD	Deposit	204	Electronics	Credit	Mobile App	Miami	2025-11-10 23:52:57	1	0.75	device_2530	High-Risk Merchant
188	4409	26032	2959.58	USD	Payment	131	Electronics	Credit	Mobile App	Los Angeles	2025-11-15 16:12:57	0	0.01	device_7036	
189	1089	43566	2504.44	GBP	Transfer	475	Restaurants	Prepaid	Web	Miami	2025-11-15 03:19:57	0	0.18	device_9363	
190	4187	91029	646.14	USD	Transfer	197	Electronics	Debit	Mobile App	Chicago	2025-11-13 22:00:57	0	0.04	device_8753	
191	2567	40889	2416.37	USD	Transfer	121	Travel	Debit	POS	Chicago	2025-11-16 14:37:57	0	0.28	device_6041	
192	2575	73836	3499.89	GBP	Transfer	103	Grocery	Debit	Web	Houston	2025-11-10 13:05:57	1	0.79	device_9956	CNP Fraud
193	2689	22032	4019.28	EUR	Deposit	253	Electronics	Credit	Mobile App	New York	2025-11-10 20:56:57	0	0.16	device_2150	
194	2503	50471	1199.09	GBP	Deposit	493	Grocery	Credit	Web	New York	2025-11-10 04:55:57	0	0.12	device_6468	
195	4858	77983	865.86	USD	Deposit	422	Luxury	Credit	Web	Miami	2025-11-16 12:41:57	0	0.08	device_3940	
196	1554	36920	1116.43	GBP	Transfer	214	Luxury	Credit	Mobile App	Houston	2025-11-12 17:54:57	0	0.29	device_4284	
197	1833	74977	4975.66	USD	Transfer	325	Restaurants	Credit	Mobile App	Houston	2025-11-10 09:36:57	1	0.77	device_8359	CNP Fraud
198	3731	32528	4326.61	USD	Withdrawal	463	Electronics	Credit	Mobile App	Miami	2025-11-11 14:41:57	0	0.27	device_4333	
199	1595	73016	561.77	EUR	Withdrawal	203	Travel	Debit	Mobile App	Los Angeles	2025-11-12 14:00:57	0	0.05	device_7073	
200	4724	90388	4833.11	EUR	Withdrawal	334	Electronics	Credit	POS	New York	2025-11-10 23:29:57	0	0.19	device_6192	
201	1047	48973	514.35	USD	Payment	373	Travel	Credit	POS	New York	2025-11-10 07:47:57	0	0.12	device_5641	
202	1083	24392	20.47	GBP	Deposit	476	Luxury	Debit	Mobile App	Chicago	2025-11-14 15:27:57	0	0.2	device_5601	
203	1271	49364	2091.8	GBP	Deposit	452	Travel	Credit	Web	Houston	2025-11-16 00:57:57	0	0.03	device_8854	
